County,Number of Students Included in API,2011 Base API
01,144470,801
02,56,787
03,3022,781
04,20797,772
05,4469,783
06,3101,724
07,121565,805
08,2745,740
09,21320,840
10,133347,767
11,4015,736
12,11925,782
13,25966,748
14,2036,765
15,120064,748
16,19208,759
17,6412,737
18,2795,760
19,1087445,767
20,20642,747
21,21748,865
22,1449,797
23,8413,723
24,39652,764
25,1116,758
26,1160,772
27,48868,738
28,14931,778
29,8137,795
30,363001,828
31,47660,853
32,1445,814
33,300495,780
34,161518,779
35,8096,764
36,284149,767
37,323349,812
38,37332,793
39,92775,742
40,24529,813
41,64601,822
42,45760,772
43,188941,833
44,25929,761
45,17957,805
46,314,803
47,3923,792
48,45655,770
49,47316,793
50,72225,769
51,12513,788
52,7327,781
53,1148,779
54,69534,748
55,4247,796
56,100225,796
57,21091,788
58,9081,758
