County,Total Student Cohort,Total Cohort Graduates,Cohort Dropouts,Cohort Graduation Percentage
Alameda         County,"17,154","13,616","2,302",79.4
Alpine          County,*,*,*,0.0
Amador          County,359,318,28,88.6
Butte           County,"2,553","2,156",292,84.5
Calaveras       County,590,534,29,90.5
Colusa          County,346,280,46,80.9
Contra Costa    County,"13,265","11,080","1,337",83.5
Del Norte       County,379,303,34,80.0
El Dorado       County,"2,501","2,243",140,89.7
Fresno          County,"14,648","11,085","2,243",75.7
Glenn           County,444,358,60,80.6
Humboldt        County,"1,504","1,190",215,79.1
Imperial        County,"2,687","2,207",259,82.1
Inyo            County,"1,019",320,484,31.4
Kern            County,"13,533","10,295","2,282",76.1
Kings           County,"2,130","1,559",387,73.2
Lake            County,709,621,60,87.6
Lassen          County,479,370,84,77.2
Los Angeles     County,"131,634","98,315","19,678",74.7
Madera          County,"2,178","1,732",299,79.5
Marin           County,"2,164","1,951",138,90.2
Mariposa        County,177,152,16,85.9
Mendocino       County,"1,015",830,111,81.8
Merced          County,"4,360","3,657",449,83.9
Modoc           County,109,93,14,85.3
Mono            County,190,116,36,61.1
Monterey        County,"4,825","3,802",616,78.8
Napa            County,"1,598","1,341",163,83.9
Nevada          County,"2,048","1,005",673,49.1
Orange          County,"43,004","36,686","3,911",85.3
Placer          County,"5,669","5,031",339,88.8
Plumas          County,206,170,28,82.5
Riverside       County,"33,410","27,494","3,734",82.3
Sacramento      County,"19,092","14,647","2,608",76.7
San Benito      County,846,737,79,87.1
San Bernardino  County,"33,861","26,105","4,487",77.1
San Diego       County,"40,264","31,567","4,198",78.4
San Francisco   County,"6,787","3,747","2,474",55.2
San Joaquin     County,"10,454","7,944","1,609",76.0
San Luis Obispo County,"3,052","2,674",235,87.6
San Mateo       County,"6,775","5,642",745,83.3
Santa Barbara   County,"5,231","4,433",549,84.7
Santa Clara     County,"20,282","16,450","2,671",81.1
Santa Cruz      County,"2,968","2,416",337,81.4
Shasta          County,"2,310","1,990",248,86.2
Sierra          County,33,32,*,97.0
Siskiyou        County,404,358,34,88.6
Solano          County,"5,226","4,073",859,77.9
Sonoma          County,"5,611","4,444",694,79.2
Stanislaus      County,"8,164","6,397","1,193",78.4
Sutter          County,"1,575","1,238",184,78.6
Tehama          County,840,706,100,84.1
Trinity         County,137,126,*,92.0
Tulare          County,"6,908","5,520","1,030",79.9
Tuolumne        County,598,504,64,84.3
Ventura         County,"11,172","9,241","1,204",82.7
Yolo            County,"2,300","1,970",238,85.7
Yuba            County,"1,075",777,188,72.3
